x,y,u,v,p
0,-0.1,0,0,0.4966
0,0,0.5,0,0.23861
0,0.1,0,0,0.4966
0.2,-0.1,0,0,0.150974
0.2,0.1,0,0,0.150966
0.4,-0.1,0,0,0.10301
0.4,0.1,0,0,0.10301
0.6,-0.1,0,0,0.0658101
0.6,0.1,0,0,0.0658101
0.8,-0.1,0,0,0.03192
0.8,0.1,0,0,0.03192
1,-0.1,0,0,0
1,0,0.53801,0,0
1,0.1,0,0,0
