x,y,U,V,P
0,0,0.5,0,0.4454
0,0.2,0.5,-0.0498867,0.5475
0,-0.2,0.5,0.049887,0.5475
1,0,0.989035,0,0
1,0.1,1,-0.106109,0
1,-0.1,1,0.10611,0
