x,y,u,v,p
0,-0.1,0,0,0.04966
0,0,0.5,0,0.023861
0,0.1,0,0,0.04966
0.2,-0.1,0,0,0.0150974
0.2,0.1,0,0,0.0150966
0.4,-0.1,0,0,0.010301
0.4,0.1,0,0,0.010301
0.6,-0.1,0,0,0.00658101
0.6,0.1,0,0,0.00658101
0.8,-0.1,0,0,0.003192
0.8,0.1,0,0,0.003192
1,-0.1,0,0,0
1,0,0.53801,0,0
1,0.1,0,0,0
